Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0402_1005Metric,62.6,37.48,-90,top
C2,10u,C_0402_1005Metric,63.8,37.48,-90,top
C3,100n,C_0402_1005Metric,48.72,25.11,180,top
C4,4.7u,C_0402_1005Metric,48.72,26.51,180,top
C5,10u,C_0603_1608Metric,13.874339,46.98,180,top
C6,4.7u,C_0402_1005Metric,13.979339,41.18,180,top
C7,4.7u,C_1206_3216Metric,12.025,13.85,180,top
C8,4.7u,C_1206_3216Metric,12.025,16.35,180,top
C9,10n,C_0402_1005Metric,22.397057,26.6,180,top
C10,330u,CP_EIA-7343-15_Kemet-W,31.277057,33.92,90,top
C11,4.7u,C_1206_3216Metric,12.025,18.85,180,top
C12,4.7u,C_1206_3216Metric,25.952057,34.8,0,top
C13,10n,C_0402_1005Metric,15.77,27.1,0,top
C14,22u,CAP-SMD_L3.5-W2.8-R-RD,4.9015,22.2,180,top
C15,4.7u,C_1206_3216Metric,25.952057,37.2,0,top
C16,22u,CAP-SMD_L3.5-W2.8-R-RD,4.9015,12.2,180,top
C17,22u,CAP-SMD_L3.5-W2.8-R-RD,4.9015,17.2,180,top
C18,10n,C_0402_1005Metric,29.72,49,180,top
C19,10n,C_0402_1005Metric,27.12,49,0,top
D1,~,SOD-123_L2.6-W1.6-LS3.5-RD,22.077057,30.8925,-90,top
D2,~,SOD-123_L2.6-W1.6-LS3.5-RD,16,22.7925,90,top
J1,MTJ-88ARX1-FSM-LG,ADAMTECH_MTJ-88ARX1-FSM-LG,49.35,6,0,top
J2,1729128,CONN_1729128_PXC,9,4.6,0,top
J3,1729128,CONN_1729128_PXC,20.06,4.575,0,top
J4,RPi_GPIO,RPI_Hat_B+,32.5475,52.525,0,top
J5,PEC11R,PinHeader_1x03_P2.54mm_Vertical,27,44.4,90,top
J6,IO Power Bus,PinHeader_2x03_P2.54mm_Vertical,21.74,42.26,180,top
J7,GPIO Bus,PinHeader_1x06_P2.54mm_Vertical,44.04,48.4,90,top
J8,Conn_01x02,PinHeader_1x02_P2.54mm_Vertical,30.06,5.8,90,top
J10,Conn_01x02,PinHeader_1x02_P2.54mm_Vertical,30.06,9.6,90,top
J11,Conn_01x02,PinHeader_1x02_P2.54mm_Vertical,30.06,2,90,top
J12,IO I2C Bus,PinHeader_2x03_P2.54mm_Vertical,8,41.32,180,top
L1,22u,IND-SMD_L11.5-W10.0,26.254057,20.6,0,top
L2,22u,IND-SMD_L11.5-W10.0,9.373,33,180,top
Q1,AO3400A,SOT-23,26.4,11.1375,-90,top
Q2,AO3400A,SOT-23,22.8,11.1375,-90,top
Q3,AO3400A,SOT-23,19.2,11.1375,-90,top
Q4,AO3400A,SOT-23,36.5375,9.6,180,top
Q5,AO3400A,SOT-23,36.5375,2,180,top
Q6,AO3400A,SOT-23,36.5375,5.8,180,top
R1,120,R_0402_1005Metric,51.8,21.51,90,top
R2,150,R_0603_1608Metric,52.975,17.4,180,top
R3,150,R_0603_1608Metric,41.775,17.4,0,top
R4,1k,R_0402_1005Metric,46.01,17.2,0,top
R5,10k,R_0402_1005Metric,30.787057,27,180,top
R6,3.3k,R_0402_1005Metric,29.277057,27.49,90,top
R7,10k,R_0402_1005Metric,6.74,26.6,0,top
R8,1.2k,R_0603_1608Metric,8.5,25.675,-90,top
R9,100,R_0603_1608Metric,35.375,19.6,180,top
R10,100,R_0603_1608Metric,35.375,21.4,180,top
R11,100,R_0603_1608Metric,35.375,23.2,180,top
R12,10k,R_0402_1005Metric,27.8,47.31,-90,top
R13,10k,R_0402_1005Metric,29,47.31,-90,top
R14,10k,R_0402_1005Metric,26.6,47.33,-90,top
R15,10k,R_0402_1005Metric,30.2,47.33,-90,top
R16,100,R_0603_1608Metric,36.4,16.825,-90,top
R17,100,R_0603_1608Metric,38.2,16.825,-90,top
R18,100,R_0603_1608Metric,34.6,16.825,-90,top
U1,MAX3485,SOIC-8_3.9x4.9mm_P1.27mm,47.4,21.6,0,top
U2,~,WIRELM-SMD_16P-L16.0-W16.0-P2.00_LORA-CC68-915MHZ-TCXO,52.6,36.9,0,top
U3,~,SMA-TH_SMA-KWE_C7498154,60.72,23.88,180,top
U4,TPS5430DDAR,DDA0008J,12.127001,23.750001,-90,top
U5,XC6220B331MR,SOT-23-5,13.549339,43.9175,-90,top
U6,TPS5430DDAR,DDA0008J,26.027058,29.949999,90,top
